revision,layout_sha256,ID,值,性质,说明
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,tower,"[14200, 7640, 650, 750] 高2300",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,fridge,"[14100, 6740, 750, 900] 高2000",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,laundry,"[8930, 8970, 720, 800] 高1950",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,robot,"[13150, 900, 550, 550] 高600",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,showerB,"[4407, 900, 1502, 900] 高50",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,wcB,"[5230, 2140, 720, 650] 高780",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,basinB,"[4407, 2820, 650, 450] 高850",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,glassB,"[5207, 1800, 702, 10] 高2000",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,showerA,"[6189, 900, 1846, 900] 高50",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,wcA,"[7350, 2000, 720, 650] 高780",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,basinA,"[7350, 2820, 650, 450] 高850",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,glassA,"[6989, 1800, 1046, 10] 高2000",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,B_south_window,"[300, 0.0, 1200, 200] 高1500",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,entry,"[13700, 621.0, 950, 200] 高2100",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,living_window,"[14877.0, 3521, 200, 650] 高1500",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,balcony_e_window,"[14877.0, 9021, 200, 700] 高2400",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,balcony_glass,"[9010, 9874.0, 5800, 200] 高2400",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,balcony_w_window,"[8710.0, 8871, 200, 900] 高2400",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,C_window,"[6699, 8571.0, 1350, 200] 高1500",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,A_window,"[612.0, 4500, 200, 1500] 高1500",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,B_niche_window,"[200, 1300.0, 350, 200] 高1500",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,B_w_window,"[0.0, 300, 200, 900] 高1500",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,A_entry,"[4912, 4370.0, 900, 120] 高2100",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,bathB_entry,"[4207.0, 2221, 120, 850] 高2100",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,B_entry,"[4207.0, 3511, 120, 850] 高2100",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,hall_west,"[5989.0, 3490, 120, 880] 高2100",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,C_entry,"[6229, 4370.0, 900, 120] 高2100",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,bathA_entry,"[6317, 3310.0, 850, 120] 高2100",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,store_entry,"[8750.0, 2521, 120, 700] 高2100",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,living_balcony,"[9510, 8611.0, 2300, 120] 高2100",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,kitchen_balcony,"[13610, 8611.0, 900, 120] 高2100",概念门窗,原图拓扑／洞口宽高与轨道均概念待实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,balcony_partition_door,"[12670.0, 8891, 60, 820] 高2100",概念门窗,概念玻璃门；轨迹已核，密封五金待核
