revision,layout_sha256,ID,名称,房间,X,Y,宽,深,Z,高,来源
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,storage,储物层架,store,8250,950,400,1350,0,2400,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,sink,主水槽柜,kitchen,14200,4590,650,900,0,850,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,dishwasher,洗碗机,kitchen,14200,5490,650,600,0,820,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,prep,备餐柜,kitchen,14200,6090,650,650,0,850,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,hob,燃气灶柜,kitchen,14200,6740,650,850,0,850,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,tower,蒸烤微波高柜,kitchen,12320,7790,650,750,0,2300,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,fridge,冰箱预留,kitchen,12320,6600,750,900,0,2000,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,laundry,洗烘叠放预留,balcony,12250,8970,720,800,0,1950,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,robot,基站候选,balcony,13200,9300,550,550,0,600,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,showerB,淋浴B,bathB,4407,900,1502,900,0,50,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wcB,坐便B,bathB,5229,2180,650,720,0,780,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,basinB,台盆B,bathB,4407,2820,650,450,0,850,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,glassB,淋浴固定玻璃B,bathB,5207,1800,702,10,0,2000,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,showerA,淋浴A,bathA,6189,900,1846,900,0,50,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wcA,坐便A,bathA,7500,1990,600,720,0,780,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,basinA,台盆A,bathA,7350,2820,650,450,0,850,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,glassA,淋浴固定玻璃A,bathA,6989,1800,1046,10,0,2000,概念选型包络；尺寸及定位为设计假设
